Region,Council,Swim site,Date,Time,Water temperature (°C),Latitude,Longitude
Sydney City,Randwick City Council,South Maroubra Rockpool,26/09/2024,09:06:00,16,-33.953515000,151.258009000
Sydney City,Randwick City Council,Maroubra Beach,26/09/2024,08:54:00,16,-33.948896000,151.257459000
Sydney City,Randwick City Council,Coogee Beach,26/09/2024,08:29:00,16,-33.920760000,151.258170000
Sydney City,Waverley Council,Bronte Beach,26/09/2024,07:52:00,17,-33.903087000,151.268790000
Sydney City,Randwick City Council,Malabar Beach,26/09/2024,09:24:00,16,-33.964360000,151.252247000
Sydney City,Waverley Council,Bondi Beach,26/09/2024,07:27:00,16,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Beach,26/09/2024,09:03:00,16,-33.951378000,151.257322000
Sydney City,Randwick City Council,Clovelly Beach,26/09/2024,08:05:00,17,-33.914578000,151.267659000
Sydney City,Waverley Council,Tamarama Beach,26/09/2024,07:40:00,17,-33.900805000,151.270734000
Sydney City,Randwick City Council,Little Bay Beach,26/09/2024,09:40:00,16,-33.979882000,151.251417000
Sydney City,Randwick City Council,Gordons Bay (East),26/09/2024,08:13:00,16,-33.915646000,151.264558000
Sydney City,Randwick City Council,South Maroubra Beach,20/09/2024,09:54:00,18,-33.951378000,151.257322000
Sydney City,Waverley Council,Bronte Beach,20/09/2024,08:25:00,18,-33.903087000,151.268790000
Sydney City,Randwick City Council,Malabar Beach,20/09/2024,10:16:00,18,-33.964360000,151.252247000
Sydney City,Randwick City Council,Gordons Bay (East),20/09/2024,09:04:00,18,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,20/09/2024,08:09:00,18,-33.900805000,151.270734000
Sydney City,Randwick City Council,South Maroubra Rockpool,20/09/2024,09:58:00,18,-33.953515000,151.258009000
Sydney City,Randwick City Council,Maroubra Beach,20/09/2024,09:41:00,18,-33.948896000,151.257459000
Sydney City,Randwick City Council,Coogee Beach,20/09/2024,09:26:00,18,-33.920760000,151.258170000
Sydney City,Randwick City Council,Little Bay Beach,20/09/2024,10:34:00,19,-33.979882000,151.251417000
Sydney City,Randwick City Council,Clovelly Beach,20/09/2024,08:38:00,18,-33.914578000,151.267659000
Sydney City,Randwick City Council,Malabar Beach,13/09/2024,09:07:00,17,-33.964360000,151.252247000
Sydney City,Waverley Council,Bondi Beach,13/09/2024,07:16:00,17,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,13/09/2024,08:38:00,17,-33.953515000,151.258009000
Sydney City,Randwick City Council,Clovelly Beach,13/09/2024,07:53:00,17,-33.914578000,151.267659000
Sydney City,Randwick City Council,Gordons Bay (East),13/09/2024,07:59:00,17,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,13/09/2024,07:28:00,17,-33.900805000,151.270734000
Sydney City,Randwick City Council,Coogee Beach,13/09/2024,08:08:00,17,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,13/09/2024,08:40:00,17,-33.951378000,151.257322000
Sydney City,Randwick City Council,Maroubra Beach,13/09/2024,20:30:00,17,-33.948896000,151.257459000
Sydney City,Randwick City Council,Little Bay Beach,13/09/2024,09:22:00,17,-33.979882000,151.251417000
Sydney City,Waverley Council,Bronte Beach,13/09/2024,07:38:00,17,-33.903087000,151.268790000
Sydney City,Randwick City Council,South Maroubra Rockpool,09/09/2024,09:03:00,17,-33.953515000,151.258009000
Sydney City,Randwick City Council,Gordons Bay (East),09/09/2024,08:16:00,16,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,09/09/2024,07:41:00,16,-33.900805000,151.270734000
Sydney City,Randwick City Council,Little Bay Beach,09/09/2024,09:36:00,17,-33.979882000,151.251417000
Sydney City,Waverley Council,Bronte Beach,09/09/2024,07:54:00,16,-33.903087000,151.268790000
Sydney City,Waverley Council,Bondi Beach,09/09/2024,07:26:00,16,-33.891157000,151.278267000
Sydney City,Randwick City Council,Malabar Beach,09/09/2024,09:21:00,17,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,09/09/2024,08:51:00,17,-33.953515000,151.258009000
Sydney City,Randwick City Council,Maroubra Beach,09/09/2024,08:49:00,16,-33.948896000,151.257459000
Sydney City,Randwick City Council,Clovelly Beach,09/09/2024,08:07:00,16,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,09/09/2024,08:29:00,16,-33.920760000,151.258170000
Sydney City,Randwick City Council,Little Bay Beach,03/09/2024,12:20:00,17,-33.979882000,151.251417000
Sydney City,Randwick City Council,Malabar Beach,03/09/2024,12:10:00,17,-33.964360000,151.252247000
Sydney City,Waverley Council,Tamarama Beach,03/09/2024,10:04:00,16,-33.900805000,151.270734000
Sydney City,Waverley Council,Bondi Beach,03/09/2024,09:52:00,16,-33.891157000,151.278267000
Sydney City,Waverley Council,Bronte Beach,03/09/2024,10:18:00,16,-33.903087000,151.268790000
Sydney City,Randwick City Council,Clovelly Beach,03/09/2024,10:37:00,16,-33.914578000,151.267659000
Sydney City,Randwick City Council,Maroubra Beach,03/09/2024,11:27:00,16,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),03/09/2024,10:42:00,16,-33.915646000,151.264558000
Sydney City,Randwick City Council,South Maroubra Rockpool,03/09/2024,11:45:00,17,-33.953515000,151.258009000
Sydney City,Randwick City Council,South Maroubra Beach,03/09/2024,11:51:00,17,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,03/09/2024,11:05:00,16,-33.920760000,151.258170000
Sydney City,Randwick City Council,Coogee Beach,27/08/2024,08:22:00,16,-33.920760000,151.258170000
Sydney City,Waverley Council,Tamarama Beach,27/08/2024,07:38:00,16,-33.900805000,151.270734000
Sydney City,Randwick City Council,Maroubra Beach,27/08/2024,08:43:00,17,-33.948896000,151.257459000
Sydney City,Randwick City Council,Little Bay Beach,27/08/2024,09:32:00,17,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,27/08/2024,07:25:00,16,-33.891157000,151.278267000
Sydney City,Waverley Council,Bronte Beach,27/08/2024,07:52:00,16,-33.903087000,151.268790000
Sydney City,Randwick City Council,South Maroubra Rockpool,27/08/2024,09:01:00,16,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,27/08/2024,09:19:00,17,-33.964360000,151.252247000
Sydney City,Randwick City Council,Gordons Bay (East),27/08/2024,08:08:00,16,-33.915646000,151.264558000
